group,variable,med_2016_2019,med_2020_2024,ratio_late_over_early,med_2025,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025
文本,boilerplate_share,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777910232544,0.0,0.0,0.0,0.0
控制变量,loanAmount,325.0,350.0,1.077,350.0,325.0,325.0,350.0,325.0,325.0,300.0,350.0,375.0,350.0,350.0
控制变量,log_loan_amount,5.786897381366708,5.860786223465865,1.013,5.860786223465865,5.786897381366708,5.786897381366708,5.860786223465865,5.786897381366708,5.786897381366708,5.707110264748875,5.860786223465865,5.929589143389895,5.860786223465865,5.860786223465865
控制变量,borrowerCount,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
控制变量,log_borrower_count,0.6931471805599453,0.6931471805599453,1.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
控制变量,lenderRepaymentTerm,11.5,12.0,1.043,12.0,11.0,11.0,13.0,12.0,11.0,11.0,12.0,13.0,13.0,12.0
控制变量,log_repayment_term,2.5249280036247685,2.5649493574615367,1.016,2.5649493574615367,2.4849066497880004,2.4849066497880004,2.6390573296152584,2.5649493574615367,2.4849066497880004,2.4849066497880004,2.5649493574615367,2.6390573296152584,2.6390573296152584,2.5649493574615367
控制变量,platform_posting_7d_count,2911.0,2935.0,1.008,2817.0,2553.0,3198.0,2928.0,2894.0,2930.0,3363.0,2904.0,3113.0,2935.0,2817.0
控制变量,log_platform_posting_7d,7.976578368417414,7.984803389734406,1.001,7.943782692458625,7.845416036592485,8.070593539949519,7.982416346827733,7.970740390007095,7.983098940710892,8.120886021092838,7.974188669286011,8.043663352393944,7.984803389734406,7.943782692458625
控制变量,country_ppp,2680.5,2549.0,0.951,2549.0,2812.0,2812.0,2549.0,2549.0,2812.0,2549.0,2549.0,2549.0,2549.0,2549.0
衍生 z 与交互,Cz,-0.09066798537969589,0.6003001928329468,-6.621,0.2951292097568512,-0.051616325974464417,-0.16182883083820343,-0.12971964478492737,-0.005558970849961042,0.700659453868866,0.7244425415992737,0.5947889685630798,0.6003001928329468,0.5231607556343079,0.2951292097568512
衍生 z 与交互,Hz,-0.4275217056274414,-0.2955683767795563,0.691,-0.2646467089653015,-0.4135083556175232,-0.441535085439682,-0.4552096724510193,-0.3830554485321045,-0.2955683767795563,-0.18322664499282837,-0.2938290536403656,-0.3711557984352112,-0.3456491231918335,-0.2646467089653015
衍生 z 与交互,Vz,0.3180447220802307,0.4179803431034088,1.314,0.38142794370651245,0.24031129479408264,0.3957781195640564,0.39678001403808594,0.21989457309246063,0.46829208731651306,0.41046634316444397,0.47776466608047485,0.4179803431034088,0.35934215784072876,0.38142794370651245
衍生 z 与交互,Gz,-0.39709311723709106,-0.335063636302948,0.844,-0.27698495984077454,-0.3941774368286133,-0.3979465365409851,-0.42036932706832886,-0.3962397277355194,-0.3499017059803009,-0.28878000378608704,-0.3262242376804352,-0.3612428307533264,-0.335063636302948,-0.27698495984077454
衍生 z 与交互,CH,-0.007519394159317017,-0.15281780064105988,20.323,-0.0413270927965641,-0.015361474826931953,0.00032268621725961566,0.01786736212670803,-0.035141799598932266,-0.049825429916381836,-0.12075585126876831,-0.15281780064105988,-0.18844392895698547,-0.17837154865264893,-0.0413270927965641
衍生 z 与交互,VG,-0.1618572175502777,-0.14106319844722748,0.872,-0.08445500582456589,-0.10641071200370789,-0.18165713548660278,-0.17003905773162842,-0.153675377368927,-0.07436516135931015,-0.15114359557628632,-0.14106319844722748,-0.14909464120864868,-0.12768907845020294,-0.08445500582456589
衍生 z 与交互,Cz_res,-0.07594895362854004,0.6126495003700256,-8.067,0.30852511525154114,-0.03703121840953827,-0.14686575531959534,-0.11486668884754181,0.00886817928403616,0.7126646041870117,0.7363660931587219,0.6071571707725525,0.6126495003700256,0.5357745885848999,0.30852511525154114
衍生 z 与交互,Hz_res,-0.37401944398880005,-0.32835328578948975,0.878,-0.23818543553352356,-0.3704800307750702,-0.3775588274002075,-0.38998278975486755,-0.3541810214519501,-0.3391065001487732,-0.30060622096061707,-0.32835328578948975,-0.3394663333892822,-0.3034924864768982,-0.23818543553352356
衍生 z 与交互,Vz_res,0.32445502281188965,0.42314162850379944,1.304,0.38704606890678406,0.24769315123558044,0.40121689438819885,0.40220627188682556,0.22753159701824188,0.4728245735168457,0.4157215356826782,0.4821787476539612,0.42314162850379944,0.3652363121509552,0.38704606890678406
衍生 z 与交互,Gz_res,-0.3521624803543091,-0.33678048849105835,0.956,-0.25460267066955566,-0.34128907322883606,-0.34783053398132324,-0.36668622493743896,-0.35649439692497253,-0.35575830936431885,-0.33678048849105835,-0.33478468656539917,-0.3401709198951721,-0.3014026880264282,-0.25460267066955566
衍生 z 与交互,CH_res,-0.020553018897771835,-0.1880856305360794,9.151,-0.05657267943024635,-0.026750247925519943,-0.014355791732668877,-0.007723784074187279,-0.055337898433208466,-0.14802998304367065,-0.20365840196609497,-0.1880856305360794,-0.19084444642066956,-0.17475545406341553,-0.05657267943024635
衍生 z 与交互,VG_res,-0.15736359357833862,-0.15336501598358154,0.975,-0.1027018204331398,-0.10708770155906677,-0.1768297404050827,-0.16679412126541138,-0.14793308079242706,-0.12515342235565186,-0.178852379322052,-0.16034379601478577,-0.15336501598358154,-0.13275837898254395,-0.1027018204331398
时间与设计,fundraising_year,2017.5,2022.0,1.002,2025.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
时间与设计,posting_dow,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
时间与设计,posting_hour,15.0,15.0,1.0,14.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0,15.0,14.0,14.0
