decile,n,mean_outcome,median_outcome,bin_min,bin_max,bin_mean,variable,outcome,view
0,123414,3.5203530984683544,3.2907312619151634,-18.28466033935547,-0.5537071824073792,-2.38552188873291,active_raw_CH,log_funding_hours,raw
1,123413,4.490940451023621,4.8680385968567,-0.5537006855010986,-0.34517592191696167,-0.42830759286880493,active_raw_CH,log_funding_hours,raw
2,123413,4.435901109342463,4.833491421044724,-0.3451727628707886,-0.24560429155826569,-0.2923976182937622,active_raw_CH,log_funding_hours,raw
3,123413,4.321623081518513,4.682308680514238,-0.24560362100601196,-0.16084013879299164,-0.20324371755123138,active_raw_CH,log_funding_hours,raw
4,123413,4.14846810095551,4.46125811595635,-0.16084003448486328,-0.0724136084318161,-0.11681205034255981,active_raw_CH,log_funding_hours,raw
5,123413,3.8696075578534823,4.05137423545321,-0.07241342961788177,0.010818432085216045,-0.028182731941342354,active_raw_CH,log_funding_hours,raw
6,123413,3.739982319629544,3.897760669004813,0.010818718001246452,0.1100405752658844,0.05603348836302757,active_raw_CH,log_funding_hours,raw
7,123413,3.9585004979784886,4.234291672637784,0.11004149168729782,0.29376113414764404,0.1900947093963623,active_raw_CH,log_funding_hours,raw
8,123413,4.215599797007066,4.536790221873132,0.29376503825187683,0.6506608724594116,0.4511224627494812,active_raw_CH,log_funding_hours,raw
9,123413,4.083714775903715,4.282593732003383,0.6506628394126892,4.570896625518799,1.2254431247711182,active_raw_CH,log_funding_hours,raw
0,123414,-0.06535407043142989,0.051488461888570605,-16.58255803365849,-0.52219843133209,-1.4720002243944186,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
1,123415,-0.24587258161276715,-0.09128061962969043,-0.522193674159705,-0.3043678116829327,-0.40091817969046367,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
2,123411,-0.05252730712314042,0.18284791758894872,-0.3043662555787376,-0.18004249416762297,-0.23743714290452408,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
3,123413,0.029013940689211645,0.265133497986196,-0.1800416987989088,-0.09193241216432166,-0.13401505078013579,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
4,123413,0.04721026838593461,0.268763843691686,-0.09193061736878916,-0.014793470656813315,-0.05318455237589984,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
5,123413,0.024951658365207515,0.22827884616952143,-0.014793081740541779,0.06628808827449148,0.02506194623306304,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
6,123413,0.012769173253551652,0.1921405119260048,0.06628845788424842,0.16443972907390422,0.11316065262239461,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
7,123413,0.023810941129784317,0.19770237319277423,0.16444026477988022,0.3131248262820387,0.23260123328647017,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
8,123413,0.12762494212741282,0.3291219411086596,0.31312622395355416,0.6198654557002917,0.4416868283726691,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
9,123413,0.09837669807686888,0.15841238110296407,0.6198677868122628,7.025148099093013,1.485059066395837,dm_active_raw_CH,dm_log_funding_hours,FE_demeaned
0,123414,3.899250989904085,3.944110969069828,-4.845759868621826,-1.5796478986740112,-2.17856764793396,active_raw_Vz,log_funding_hours,raw
1,123413,3.7570039322772644,3.7565640627907615,-1.579646110534668,-0.958409309387207,-1.2743747234344482,active_raw_Vz,log_funding_hours,raw
2,123414,3.871436805418296,3.9177123459342944,-0.95839923620224,-0.12351750582456589,-0.5255802869796753,active_raw_Vz,log_funding_hours,raw
3,123412,4.091342552875534,4.321041044796328,-0.12351643294095993,0.18539059162139893,0.04618552327156067,active_raw_Vz,log_funding_hours,raw
4,123413,3.863836024147603,4.070853195439591,0.18539290130138397,0.35895711183547974,0.2757667899131775,active_raw_Vz,log_funding_hours,raw
5,123413,3.8701469250949256,4.113116338839023,0.3589576482772827,0.5015939474105835,0.4327198565006256,active_raw_Vz,log_funding_hours,raw
6,123413,4.144054283609695,4.476736887083001,0.5015950202941895,0.638953685760498,0.5716468095779419,active_raw_Vz,log_funding_hours,raw
7,123414,4.292025981439713,4.638670777551281,0.6389543414115906,0.7836991548538208,0.7050982117652893,active_raw_Vz,log_funding_hours,raw
8,123412,4.415516376152365,4.847893027980349,0.7836992144584656,0.9367244243621826,0.8574185967445374,active_raw_Vz,log_funding_hours,raw
9,123413,4.580076631095076,5.119172425629813,0.9367246031761169,1.8022407293319702,1.0897104740142822,active_raw_Vz,log_funding_hours,raw
0,123414,-0.1690283171596575,-0.10095167780346845,-2.8678362841273226,-0.28184006135774464,-0.5211971789887794,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
1,123413,-0.057943216339621066,0.049372431952923075,-0.2818376804647233,-0.16238956000723753,-0.21502882356486738,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
2,123413,0.002770737296174515,0.16125083751906355,-0.16238915578009097,-0.09790499493594879,-0.12828377767678073,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
3,123414,-0.012218353027327964,0.15000969632558994,-0.09790453975485108,-0.047311418402329504,-0.07143058079516915,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
4,123412,0.029942900897801085,0.23305675113294538,-0.047310426913604584,-0.004517207501006151,-0.026432908221435084,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
5,123413,-0.02349990431159068,0.17840475127455166,-0.004516800167258219,0.042207140242855073,0.01817724452117501,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
6,123413,-0.007645856341817607,0.23368262487110594,0.04220759173566344,0.09485762429078143,0.06837681344929256,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
7,123413,0.0378462160832386,0.2895392214525348,0.0948591083171297,0.16735446673074245,0.1275448573124055,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
8,123413,0.06656931754204887,0.30022315635068214,0.16735529357504397,0.30955144107923244,0.22703773993264523,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
9,123413,0.13320818660325534,0.29893567575790825,0.3095535746483642,2.097410739429232,0.5212412018371054,dm_active_raw_Vz,dm_log_funding_hours,FE_demeaned
0,123414,4.448879989170372,4.8089598759308405,-0.6704912781715393,-0.5621724724769592,-0.5914580821990967,active_raw_Gz,log_funding_hours,raw
1,123415,4.388945574887523,4.747970984619762,-0.5621724128723145,-0.5209943056106567,-0.5411818027496338,active_raw_Gz,log_funding_hours,raw
2,123413,4.356968490461889,4.724011920284504,-0.5209929943084717,-0.47990548610687256,-0.5007293820381165,active_raw_Gz,log_funding_hours,raw
3,123411,4.316839631069613,4.66898188055121,-0.47990506887435913,-0.43171173334121704,-0.4568438231945038,active_raw_Gz,log_funding_hours,raw
4,123413,4.290412972362048,4.6587557123146155,-0.4317115545272827,-0.36523810029029846,-0.40030550956726074,active_raw_Gz,log_funding_hours,raw
5,123413,4.221655402407811,4.573088815856923,-0.3652379512786865,-0.27497413754463196,-0.32225698232650757,active_raw_Gz,log_funding_hours,raw
6,123431,4.072399880391604,4.364672050141034,-0.27497386932373047,-0.14518527686595917,-0.21462030708789825,active_raw_Gz,log_funding_hours,raw
