group,variable,n,pct_missing,n_unique,discreteness,min,p01,p25,p50,p75,p95,p99,max,mean,std,iqr,skew,kurtosis,mean_over_median,p99_over_p50,pct_zero,pct_negative,mode_value,mode_pct,top10_values_pct
文本,boilerplate_share,1234131,0.0,280,准离散,0.0,0.0,0.0,0.0,0.5555555820465088,1.0,1.0,1.0,0.2641642093658447,0.35204747319221497,0.5555555820465088,0.8697612285614014,-0.789583683013916,,,59.3815,0.0,0.0,59.381,80.22
控制变量,loanAmount,1234131,0.0,1157,准离散,5.0,75.0,200.0,325.0,575.0,1525.0,3850.0,500000.0,553.4940010420288,1756.046416377829,375.0,167.60393448638195,40956.33902484118,1.703058464744704,11.846153846153847,0.0,0.0,200.0,9.186,48.88
控制变量,log_loan_amount,1234131,0.0,1157,准离散,1.791759469228055,4.330733340286331,5.303304908059076,5.786897381366708,6.3561076606958915,7.330405211844402,8.25608813381491,13.122365377402328,5.900398916147615,0.821647945053099,1.0528027526368158,0.5721297578091034,0.855985524171432,1.019613538533856,1.4266864590339505,0.0,0.0,5.303304908059076,9.186,48.88
控制变量,borrowerCount,1234131,0.0,49,离散,1.0,1.0,1.0,1.0,1.0,5.0,15.0,50.0,1.6437290692803277,2.6522357697588723,0.0,5.900258097537437,42.79242553095567,1.6437290692803277,15.0,0.0,0.0,1.0,89.651,97.81
控制变量,log_borrower_count,1234131,0.0,49,离散,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.791759469228055,2.772588722239781,3.9318256327243257,0.818871578825588,0.41886350748944273,0.0,3.654737929861396,13.264452501758871,1.1813819658965918,4.0,0.0,0.0,0.6931471805599453,89.651,97.81
控制变量,lenderRepaymentTerm,1234131,0.0,95,准离散,2.0,5.0,8.0,12.0,14.0,21.0,33.0,133.0,12.24679875961304,5.3115755270905405,6.0,2.745086240296287,19.837532067484165,1.0205665633010865,2.75,0.0,0.0,14.0,28.399,90.36
控制变量,log_repayment_term,1234131,0.0,95,准离散,1.0986122886681098,1.791759469228055,2.1972245773362196,2.5649493574615367,2.70805020110221,3.091042453358316,3.5263605246161616,4.897839799950911,2.5209039652611067,0.34250892726010246,0.5108256237659905,0.5394555339035836,0.8541872311657257,0.9828279680952373,1.3748265689370602,0.0,0.0,2.70805020110221,28.399,90.36
控制变量,platform_posting_7d_count,1234131,0.0,8000,连续,421.0,1079.0,2368.0,2953.0,3593.0,5132.0,7139.0,8528.0,3076.5723014817713,1135.9847238844827,1225.0,1.1364262402341114,2.613261404717023,1.0418463601360552,2.4175414832373856,0.0,0.0,2958.0,0.061,0.59
控制变量,log_platform_posting_7d,1234131,0.0,8000,连续,6.045005314036012,6.984716320118266,7.7702232041587855,7.9909154630913255,8.187021067343505,8.543445562560303,8.87346805533363,9.05122740031911,7.965555602112074,0.3705092278996934,0.4167978631847191,-0.3415219645748024,0.7867192942906964,0.996826413557197,1.1104444911623286,0.0,0.0,7.99260665240021,0.061,0.59
控制变量,country_ppp,1234131,0.0,45,离散,486.0,616.0,1644.0,2790.0,4321.0,4321.0,4321.0,4321.0,2850.6958564366346,1267.1803311578528,2677.0,-0.15274385834128174,-1.3291855444369327,1.021754787253274,1.5487455197132616,0.0,0.0,4321.0,34.845,80.92
