pool_type,pool_n,formula_raw,brute_raw,abs_error_raw,formula_residual,brute_residual,abs_error_residual,check_id
posting_16d,434,0.03594890597089249,0.035948905970892474,1.3877787807814457e-17,0.039593647472957794,0.03959364747295777,2.0816681711721685e-17,26
active,41,0.25284242836406795,0.252842428364068,5.551115123125783e-17,0.252042629117836,0.25204262911783604,5.551115123125783e-17,27
lag_weighted_35_65d,106,0.10815666880481356,0.10815666880481366,9.71445146547012e-17,0.10746530510948424,0.10746530510948434,9.71445146547012e-17,27
posting_16d,45,0.19130905920721378,0.19130905920721375,2.7755575615628914e-17,0.1920770194172726,0.19207701941727262,2.7755575615628914e-17,27
active,1108,0.030364009022033022,0.030364009022033008,1.3877787807814457e-17,0.025881104961470232,0.02588110496147024,6.938893903907228e-18,28
lag_weighted_35_65d,2874,0.03843193344205676,0.038431933442056844,8.326672684688674e-17,0.03217679031651595,0.03217679031651613,1.8041124150158794e-16,28
posting_16d,1569,0.034923433703325305,0.0349234337033252,1.0408340855860843e-16,0.025534179195487772,0.025534179195487828,5.551115123125783e-17,28
active,3291,0.0297941080020031,0.02979410800200313,3.122502256758253e-17,0.028927866452572063,0.028927866452571886,1.7694179454963432e-16,29
lag_weighted_35_65d,3083,0.03476283027861851,0.034762830278618644,1.3183898417423734e-16,0.033310942882712656,0.0333109428827126,5.551115123125783e-17,29
posting_16d,2647,0.03355884320582503,0.03355884320582501,2.0816681711721685e-17,0.0329895039368178,0.032989503936817745,5.551115123125783e-17,29
active,71,0.07847404485412333,0.0784740448541233,2.7755575615628914e-17,0.08143589601474038,0.08143589601474038,0.0,30
lag_weighted_35_65d,461,0.6622012865300085,0.662201286530008,5.551115123125783e-16,0.6591859641295438,0.6591859641295424,1.3322676295501878e-15,30
posting_16d,406,0.749979043533738,0.7499790435337332,4.773959005888173e-15,0.7500570370177571,0.7500570370177593,2.220446049250313e-15,30
active,473,0.04813187850444283,0.048131878504442824,6.938893903907228e-18,0.020361935188225915,0.020361935188225915,0.0,31
lag_weighted_35_65d,2473,0.03861183554609094,0.03861183554609107,1.3183898417423734e-16,0.022332670464171873,0.02233267046417194,6.591949208711867e-17,31
posting_16d,1291,0.04102548587331176,0.04102548587331186,1.0408340855860843e-16,0.02346041415385919,0.02346041415385919,0.0,31
active,618,0.06107836313048628,0.06107836313048626,2.0816681711721685e-17,0.03316624140480156,0.03316624140480156,0.0,32
lag_weighted_35_65d,3019,0.033800105627425074,0.033800105627424935,1.3877787807814457e-16,0.011340232557862992,0.011340232557862965,2.7755575615628914e-17,32
posting_16d,1442,0.04099302601580146,0.04099302601580146,0.0,0.014041898291465012,0.014041898291465012,0.0,32
active,1162,0.03012514893427464,0.03012514893427464,0.0,0.03197174091768433,0.03197174091768432,6.938893903907228e-18,33
lag_weighted_35_65d,4507,0.035018321783289334,0.03501832178328949,1.5265566588595902e-16,0.03520135733698196,0.03520135733698216,2.0122792321330962e-16,33
posting_16d,2139,0.02903617117297855,0.02903617117297852,3.122502256758253e-17,0.030090765703214804,0.03009076570321468,1.249000902703301e-16,33
active,658,0.016580046612334493,0.016580046612334497,3.469446951953614e-18,0.017488147688639637,0.01748814768863966,2.42861286636753e-17,34
lag_weighted_35_65d,2937,0.02930274441295293,0.029302744412953052,1.214306433183765e-16,0.02789647650115451,0.027896476501154642,1.3183898417423734e-16,34
posting_16d,1091,0.026717870342956532,0.026717870342956532,0.0,0.02709927859474402,0.027099278594744005,1.3877787807814457e-17,34
active,462,0.04776630295942057,0.04776630295942065,8.326672684688674e-17,0.03404503484757034,0.03404503484757034,0.0,35
lag_weighted_35_65d,1862,0.04792662729229245,0.047926627292292565,1.1796119636642288e-16,0.03277370510610846,0.03277370510610853,6.938893903907228e-17,35
posting_16d,1107,0.041139238777436776,0.04113923877743676,1.3877787807814457e-17,0.0311736850904502,0.031173685090450185,1.3877787807814457e-17,35
active,2699,0.03964681760457258,0.0396468176045719,6.800116025829084e-16,0.01660997325053133,0.01660997325053144,1.1102230246251565e-16,36
lag_weighted_35_65d,2075,0.03269756506514679,0.032697565065146705,8.326672684688674e-17,0.017085573539173452,0.0170855735391734,5.204170427930421e-17,36
posting_16d,2469,0.042735778217140315,0.042735778217139635,6.800116025829084e-16,0.019484008395511197,0.019484008395511336,1.3877787807814457e-16,36
active,216,0.06464205502936599,0.06464205502936599,0.0,0.06632383287740233,0.06632383287740236,2.7755575615628914e-17,37
lag_weighted_35_65d,799,0.29897895344379705,0.2989789534437976,5.551115123125783e-16,0.2994387358768787,0.2994387358768787,0.0,37
posting_16d,435,0.15619581110835917,0.15619581110835926,8.326672684688674e-17,0.15717185993218397,0.15717185993218377,1.942890293094024e-16,37
active,22,0.4576505140593424,0.4576505140593424,0.0,0.45897052540414585,0.4589705254041459,5.551115123125783e-17,38
